Categorii de biblioteci , Judete, Localitati , Ani, UM: Numar, Valoare
Total, TOTAL, TOTAL, Anul 1995, Numar, 13577
Total, TOTAL, TOTAL, Anul 1996, Numar, 13804
Total, TOTAL, TOTAL, Anul 1997, Numar, 13849
Total, TOTAL, TOTAL, Anul 1998, Numar, 13821
Total, TOTAL, TOTAL, Anul 1999, Numar, 13785
Total, TOTAL, TOTAL, Anul 2000, Numar, 13422
Total, TOTAL, TOTAL, Anul 2001, Numar, 13442
Total, TOTAL, TOTAL, Anul 2002, Numar, 13377
Total, TOTAL, TOTAL, Anul 2003, Numar, 13169
Total, TOTAL, TOTAL, Anul 2004, Numar, 12573
Total, TOTAL, TOTAL, Anul 2005, Numar, 12455
Total, TOTAL, TOTAL, Anul 2006, Numar, 12081
Total, TOTAL, TOTAL, Anul 2007, Numar, 12366
Total, TOTAL, TOTAL, Anul 2008, Numar, 12359
Total, TOTAL, TOTAL, Anul 2009, Numar, 12229
Total, TOTAL, TOTAL, Anul 2010, Numar, 11829
Total, TOTAL, TOTAL, Anul 2011, Numar, 11630
Total, TOTAL, TOTAL, Anul 2012, Numar, 11309
Total, TOTAL, TOTAL, Anul 2013, Numar, 11176
Total, TOTAL, TOTAL, Anul 2014, Numar, 10845
Total, TOTAL, TOTAL, Anul 2015, Numar, 10111
Total, TOTAL, TOTAL, Anul 2016, Numar, 9832
Total, TOTAL, TOTAL, Anul 2017, Numar, 9594
Total, TOTAL, TOTAL, Anul 2018, Numar, 9479
Total, TOTAL, TOTAL, Anul 2019, Numar, 9222
Total, TOTAL, TOTAL, Anul 2020, Numar, 8829
Total, TOTAL, TOTAL, Anul 2021, Numar, 8458
Total, Alba, TOTAL, Anul 1995, Numar, 290
Total, Alba, TOTAL, Anul 1996, Numar, 284
Total, Alba, TOTAL, Anul 1997, Numar, 288
Total, Alba, TOTAL, Anul 1998, Numar, 296
Total, Alba, TOTAL, Anul 1999, Numar, 311
Total, Alba, TOTAL, Anul 2000, Numar, 266
Total, Alba, TOTAL, Anul 2001, Numar, 298
Total, Alba, TOTAL, Anul 2002, Numar, 276
Total, Alba, TOTAL, Anul 2003, Numar, 274
Total, Alba, TOTAL, Anul 2004, Numar, 271
Total, Alba, TOTAL, Anul 2005, Numar, 270
Total, Alba, TOTAL, Anul 2006, Numar, 258
Total, Alba, TOTAL, Anul 2007, Numar, 253
Total, Alba, TOTAL, Anul 2008, Numar, 253
Total, Alba, TOTAL, Anul 2009, Numar, 254
Total, Alba, TOTAL, Anul 2010, Numar, 245
Total, Alba, TOTAL, Anul 2011, Numar, 236
Total, Alba, TOTAL, Anul 2012, Numar, 240
Total, Alba, TOTAL, Anul 2013, Numar, 230
Total, Alba, TOTAL, Anul 2014, Numar, 227
Total, Alba, TOTAL, Anul 2015, Numar, 220
Total, Alba, TOTAL, Anul 2016, Numar, 214
Total, Alba, TOTAL, Anul 2017, Numar, 209
Total, Alba, TOTAL, Anul 2018, Numar, 201
Total, Alba, TOTAL, Anul 2019, Numar, 197
Total, Alba, TOTAL, Anul 2020, Numar, 192
Total, Alba, TOTAL, Anul 2021, Numar, 186
Total, Arad, TOTAL, Anul 1995, Numar, 248
Total, Arad, TOTAL, Anul 1996, Numar, 264
Total, Arad, TOTAL, Anul 1997, Numar, 262
Total, Arad, TOTAL, Anul 1998, Numar, 264
Total, Arad, TOTAL, Anul 1999, Numar, 261
Total, Arad, TOTAL, Anul 2000, Numar, 217
Total, Arad, TOTAL, Anul 2001, Numar, 269
Total, Arad, TOTAL, Anul 2002, Numar, 276
Total, Arad, TOTAL, Anul 2003, Numar, 260
Total, Arad, TOTAL, Anul 2004, Numar, 245
Total, Arad, TOTAL, Anul 2005, Numar, 232
Total, Arad, TOTAL, Anul 2006, Numar, 236
Total, Arad, TOTAL, Anul 2007, Numar, 249
Total, Arad, TOTAL, Anul 2008, Numar, 248
Total, Arad, TOTAL, Anul 2009, Numar, 233
Total, Arad, TOTAL, Anul 2010, Numar, 242
Total, Arad, TOTAL, Anul 2011, Numar, 234
Total, Arad, TOTAL, Anul 2012, Numar, 237
Total, Arad, TOTAL, Anul 2013, Numar, 251
Total, Arad, TOTAL, Anul 2014, Numar, 239
Total, Arad, TOTAL, Anul 2015, Numar, 212
Total, Arad, TOTAL, Anul 2016, Numar, 203
Total, Arad, TOTAL, Anul 2017, Numar, 199
Total, Arad, TOTAL, Anul 2018, Numar, 200
Total, Arad, TOTAL, Anul 2019, Numar, 200
Total, Arad, TOTAL, Anul 2020, Numar, 196
Total, Arad, TOTAL, Anul 2021, Numar, 179
Total, Arges, TOTAL, Anul 1995, Numar, 625
Total, Arges, TOTAL, Anul 1996, Numar, 634
Total, Arges, TOTAL, Anul 1997, Numar, 623
Total, Arges, TOTAL, Anul 1998, Numar, 596
Total, Arges, TOTAL, Anul 1999, Numar, 599
Total, Arges, TOTAL, Anul 2000, Numar, 564
Total, Arges, TOTAL, Anul 2001, Numar, 562
Total, Arges, TOTAL, Anul 2002, Numar, 569
Total, Arges, TOTAL, Anul 2003, Numar, 572
Total, Arges, TOTAL, Anul 2004, Numar, 422
Total, Arges, TOTAL, Anul 2005, Numar, 420
Total, Arges, TOTAL, Anul 2006, Numar, 421
Total, Arges, TOTAL, Anul 2007, Numar, 549
Total, Arges, TOTAL, Anul 2008, Numar, 542
Total, Arges, TOTAL, Anul 2009, Numar, 531
Total, Arges, TOTAL, Anul 2010, Numar, 508
Total, Arges, TOTAL, Anul 2011, Numar, 481
Total, Arges, TOTAL, Anul 2012, Numar, 470
Total, Arges, TOTAL, Anul 2013, Numar, 445
Total, Arges, TOTAL, Anul 2014, Numar, 429
Total, Arges, TOTAL, Anul 2015, Numar, 401
Total, Arges, TOTAL, Anul 2016, Numar, 386
Total, Arges, TOTAL, Anul 2017, Numar, 376
Total, Arges, TOTAL, Anul 2018, Numar, 368
Total, Arges, TOTAL, Anul 2019, Numar, 355
Total, Arges, TOTAL, Anul 2020, Numar, 339
Total, Arges, TOTAL, Anul 2021, Numar, 328
Total, Bacau, TOTAL, Anul 1995, Numar, 496
Total, Bacau, TOTAL, Anul 1996, Numar, 497
Total, Bacau, TOTAL, Anul 1997, Numar, 482
Total, Bacau, TOTAL, Anul 1998, Numar, 486
Total, Bacau, TOTAL, Anul 1999, Numar, 473
Total, Bacau, TOTAL, Anul 2000, Numar, 469
Total, Bacau, TOTAL, Anul 2001, Numar, 468
Total, Bacau, TOTAL, Anul 2002, Numar, 463
Total, Bacau, TOTAL, Anul 2003, Numar, 460
Total, Bacau, TOTAL, Anul 2004, Numar, 435
Total, Bacau, TOTAL, Anul 2005, Numar, 431
Total, Bacau, TOTAL, Anul 2006, Numar, 431
Total, Bacau, TOTAL, Anul 2007, Numar, 425
Total, Bacau, TOTAL, Anul 2008, Numar, 419
Total, Bacau, TOTAL, Anul 2009, Numar, 408
Total, Bacau, TOTAL, Anul 2010, Numar, 388
Total, Bacau, TOTAL, Anul 2011, Numar, 380
Total, Bacau, TOTAL, Anul 2012, Numar, 380
Total, Bacau, TOTAL, Anul 2013, Numar, 386
Total, Bacau, TOTAL, Anul 2014, Numar, 382
Total, Bacau, TOTAL, Anul 2015, Numar, 371
Total, Bacau, TOTAL, Anul 2016, Numar, 364
Total, Bacau, TOTAL, Anul 2017, Numar, 358
Total, Bacau, TOTAL, Anul 2018, Numar, 357
Total, Bacau, TOTAL, Anul 2019, Numar, 350
Total, Bacau, TOTAL, Anul 2020, Numar, 336
Total, Bacau, TOTAL, Anul 2021, Numar, 303
Total, Bihor, TOTAL, Anul 1995, Numar, 421
Total, Bihor, TOTAL, Anul 1996, Numar, 414
Total, Bihor, TOTAL, Anul 1997, Numar, 451
Total, Bihor, TOTAL, Anul 1998, Numar, 446
Total, Bihor, TOTAL, Anul 1999, Numar, 453
Total, Bihor, TOTAL, Anul 2000, Numar, 433
Total, Bihor, TOTAL, Anul 2001, Numar, 429
Total, Bihor, TOTAL, Anul 2002, Numar, 421
Total, Bihor, TOTAL, Anul 2003, Numar, 421
Total, Bihor, TOTAL, Anul 2004, Numar, 380
Total, Bihor, TOTAL, Anul 2005, Numar, 378
Total, Bihor, TOTAL, Anul 2006, Numar, 366
Total, Bihor, TOTAL, Anul 2007, Numar, 383
Total, Bihor, TOTAL, Anul 2008, Numar, 382
Total, Bihor, TOTAL, Anul 2009, Numar, 389
Total, Bihor, TOTAL, Anul 2010, Numar, 371
Total, Bihor, TOTAL, Anul 2011, Numar, 375
Total, Bihor, TOTAL, Anul 2012, Numar, 369
Total, Bihor, TOTAL, Anul 2013, Numar, 300
Total, Bihor, TOTAL, Anul 2014, Numar, 308
Total, Bihor, TOTAL, Anul 2015, Numar, 288
Total, Bihor, TOTAL, Anul 2016, Numar, 285
Total, Bihor, TOTAL, Anul 2017, Numar, 284
Total, Bihor, TOTAL, Anul 2018, Numar, 280
Total, Bihor, TOTAL, Anul 2019, Numar, 273
Total, Bihor, TOTAL, Anul 2020, Numar, 258
Total, Bihor, TOTAL, Anul 2021, Numar, 252
Total, Bistrita-Nasaud, TOTAL, Anul 1995, Numar, 257
Total, Bistrita-Nasaud, TOTAL, Anul 1996, Numar, 258
Total, Bistrita-Nasaud, TOTAL, Anul 1997, Numar, 260
Total, Bistrita-Nasaud, TOTAL, Anul 1998, Numar, 252
Total, Bistrita-Nasaud, TOTAL, Anul 1999, Numar, 248
Total, Bistrita-Nasaud, TOTAL, Anul 2000, Numar, 244
Total, Bistrita-Nasaud, TOTAL, Anul 2001, Numar, 251
Total, Bistrita-Nasaud, TOTAL, Anul 2002, Numar, 238
Total, Bistrita-Nasaud, TOTAL, Anul 2003, Numar, 231
Total, Bistrita-Nasaud, TOTAL, Anul 2004, Numar, 220
Total, Bistrita-Nasaud, TOTAL, Anul 2005, Numar, 234
Total, Bistrita-Nasaud, TOTAL, Anul 2006, Numar, 231
Total, Bistrita-Nasaud, TOTAL, Anul 2007, Numar, 230
Total, Bistrita-Nasaud, TOTAL, Anul 2008, Numar, 231
Total, Bistrita-Nasaud, TOTAL, Anul 2009, Numar, 243
Total, Bistrita-Nasaud, TOTAL, Anul 2010, Numar, 241
Total, Bistrita-Nasaud, TOTAL, Anul 2011, Numar, 231
Total, Bistrita-Nasaud, TOTAL, Anul 2012, Numar, 209
Total, Bistrita-Nasaud, TOTAL, Anul 2013, Numar, 220
Total, Bistrita-Nasaud, TOTAL, Anul 2014, Numar, 228
Total, Bistrita-Nasaud, TOTAL, Anul 2015, Numar, 220
Total, Bistrita-Nasaud, TOTAL, Anul 2016, Numar, 219
Total, Bistrita-Nasaud, TOTAL, Anul 2017, Numar, 203
Total, Bistrita-Nasaud, TOTAL, Anul 2018, Numar, 199
Total, Bistrita-Nasaud, TOTAL, Anul 2019, Numar, 171
Total, Bistrita-Nasaud, TOTAL, Anul 2020, Numar, 162
Total, Bistrita-Nasaud, TOTAL, Anul 2021, Numar, 165
Total, Botosani, TOTAL, Anul 1995, Numar, 326
Total, Botosani, TOTAL, Anul 1996, Numar, 310
Total, Botosani, TOTAL, Anul 1997, Numar, 311
Total, Botosani, TOTAL, Anul 1998, Numar, 318
Total, Botosani, TOTAL, Anul 1999, Numar, 323
Total, Botosani, TOTAL, Anul 2000, Numar, 315
Total, Botosani, TOTAL, Anul 2001, Numar, 319
Total, Botosani, TOTAL, Anul 2002, Numar, 320
Total, Botosani, TOTAL, Anul 2003, Numar, 333
Total, Botosani, TOTAL, Anul 2004, Numar, 304
Total, Botosani, TOTAL, Anul 2005, Numar, 305
Total, Botosani, TOTAL, Anul 2006, Numar, 324
Total, Botosani, TOTAL, Anul 2007, Numar, 266
Total, Botosani, TOTAL, Anul 2008, Numar, 267
Total, Botosani, TOTAL, Anul 2009, Numar, 271
Total, Botosani, TOTAL, Anul 2010, Numar, 242
Total, Botosani, TOTAL, Anul 2011, Numar, 238
Total, Botosani, TOTAL, Anul 2012, Numar, 240
Total, Botosani, TOTAL, Anul 2013, Numar, 291
Total, Botosani, TOTAL, Anul 2014, Numar, 273
Total, Botosani, TOTAL, Anul 2015, Numar, 268
Total, Botosani, TOTAL, Anul 2016, Numar, 260
Total, Botosani, TOTAL, Anul 2017, Numar, 256
Total, Botosani, TOTAL, Anul 2018, Numar, 247
Total, Botosani, TOTAL, Anul 2019, Numar, 250
Total, Botosani, TOTAL, Anul 2020, Numar, 237
Total, Botosani, TOTAL, Anul 2021, Numar, 230
Total, Brasov, TOTAL, Anul 1995, Numar, 336
Total, Brasov, TOTAL, Anul 1996, Numar, 333
Total, Brasov, TOTAL, Anul 1997, Numar, 354
Total, Brasov, TOTAL, Anul 1998, Numar, 342
Total, Brasov, TOTAL, Anul 1999, Numar, 342
Total, Brasov, TOTAL, Anul 2000, Numar, 342
Total, Brasov, TOTAL, Anul 2001, Numar, 340
Total, Brasov, TOTAL, Anul 2002, Numar, 334
Total, Brasov, TOTAL, Anul 2003, Numar, 327
Total, Brasov, TOTAL, Anul 2004, Numar, 295
Total, Brasov, TOTAL, Anul 2005, Numar, 276
Total, Brasov, TOTAL, Anul 2006, Numar, 260
Total, Brasov, TOTAL, Anul 2007, Numar, 227
Total, Brasov, TOTAL, Anul 2008, Numar, 216
Total, Brasov, TOTAL, Anul 2009, Numar, 231
Total, Brasov, TOTAL, Anul 2010, Numar, 218
Total, Brasov, TOTAL, Anul 2011, Numar, 202
Total, Brasov, TOTAL, Anul 2012, Numar, 213
Total, Brasov, TOTAL, Anul 2013, Numar, 209
Total, Brasov, TOTAL, Anul 2014, Numar, 234
Total, Brasov, TOTAL, Anul 2015, Numar, 226
Total, Brasov, TOTAL, Anul 2016, Numar, 217
Total, Brasov, TOTAL, Anul 2017, Numar, 211
Total, Brasov, TOTAL, Anul 2018, Numar, 211
Total, Brasov, TOTAL, Anul 2019, Numar, 207
Total, Brasov, TOTAL, Anul 2020, Numar, 202
Total, Brasov, TOTAL, Anul 2021, Numar, 205
Total, Braila, TOTAL, Anul 1995, Numar, 209
Total, Braila, TOTAL, Anul 1996, Numar, 215
Total, Braila, TOTAL, Anul 1997, Numar, 218
Total, Braila, TOTAL, Anul 1998, Numar, 217
Total, Braila, TOTAL, Anul 1999, Numar, 216
Total, Braila, TOTAL, Anul 2000, Numar, 206
Total, Braila, TOTAL, Anul 2001, Numar, 200
Total, Braila, TOTAL, Anul 2002, Numar, 201
Total, Braila, TOTAL, Anul 2003, Numar, 198
Total, Braila, TOTAL, Anul 2004, Numar, 207
Total, Braila, TOTAL, Anul 2005, Numar, 196
Total, Braila, TOTAL, Anul 2006, Numar, 193
Total, Braila, TOTAL, Anul 2007, Numar, 197
Total, Braila, TOTAL, Anul 2008, Numar, 195
Total, Braila, TOTAL, Anul 2009, Numar, 195
Total, Braila, TOTAL, Anul 2010, Numar, 187
Total, Braila, TOTAL, Anul 2011, Numar, 189
Total, Braila, TOTAL, Anul 2012, Numar, 179
Total, Braila, TOTAL, Anul 2013, Numar, 173
Total, Braila, TOTAL, Anul 2014, Numar, 163
Total, Braila, TOTAL, Anul 2015, Numar, 158
Total, Braila, TOTAL, Anul 2016, Numar, 157
Total, Braila, TOTAL, Anul 2017, Numar, 151
Total, Braila, TOTAL, Anul 2018, Numar, 150
Total, Braila, TOTAL, Anul 2019, Numar, 148
Total, Braila, TOTAL, Anul 2020, Numar, 144
Total, Braila, TOTAL, Anul 2021, Numar, 135
Total, Buzau, TOTAL, Anul 1995, Numar, 305
Total, Buzau, TOTAL, Anul 1996, Numar, 346
Total, Buzau, TOTAL, Anul 1997, Numar, 338
Total, Buzau, TOTAL, Anul 1998, Numar, 338
Total, Buzau, TOTAL, Anul 1999, Numar, 348
Total, Buzau, TOTAL, Anul 2000, Numar, 343
Total, Buzau, TOTAL, Anul 2001, Numar, 337
Total, Buzau, TOTAL, Anul 2002, Numar, 334
Total, Buzau, TOTAL, Anul 2003, Numar, 329
Total, Buzau, TOTAL, Anul 2004, Numar, 329
Total, Buzau, TOTAL, Anul 2005, Numar, 329
Total, Buzau, TOTAL, Anul 2006, Numar, 328
Total, Buzau, TOTAL, Anul 2007, Numar, 319
Total, Buzau, TOTAL, Anul 2008, Numar, 322
Total, Buzau, TOTAL, Anul 2009, Numar, 322
Total, Buzau, TOTAL, Anul 2010, Numar, 318
Total, Buzau, TOTAL, Anul 2011, Numar, 314
Total, Buzau, TOTAL, Anul 2012, Numar, 309
Total, Buzau, TOTAL, Anul 2013, Numar, 281
Total, Buzau, TOTAL, Anul 2014, Numar, 273
Total, Buzau, TOTAL, Anul 2015, Numar, 258
Total, Buzau, TOTAL, Anul 2016, Numar, 247
Total, Buzau, TOTAL, Anul 2017, Numar, 241
Total, Buzau, TOTAL, Anul 2018, Numar, 235
Total, Buzau, TOTAL, Anul 2019, Numar, 230
Total, Buzau, TOTAL, Anul 2020, Numar, 218
Total, Buzau, TOTAL, Anul 2021, Numar, 215
Total, Caras-Severin, TOTAL, Anul 1995, Numar, 270
Total, Caras-Severin, TOTAL, Anul 1996, Numar, 271
Total, Caras-Severin, TOTAL, Anul 1997, Numar, 279
Total, Caras-Severin, TOTAL, Anul 1998, Numar, 271
Total, Caras-Severin, TOTAL, Anul 1999, Numar, 281
Total, Caras-Severin, TOTAL, Anul 2000, Numar, 274
Total, Caras-Severin, TOTAL, Anul 2001, Numar, 281
Total, Caras-Severin, TOTAL, Anul 2002, Numar, 276
Total, Caras-Severin, TOTAL, Anul 2003, Numar, 274
Total, Caras-Severin, TOTAL, Anul 2004, Numar, 252
Total, Caras-Severin, TOTAL, Anul 2005, Numar, 246
Total, Caras-Severin, TOTAL, Anul 2006, Numar, 243
Total, Caras-Severin, TOTAL, Anul 2007, Numar, 241
Total, Caras-Severin, TOTAL, Anul 2008, Numar, 233
Total, Caras-Severin, TOTAL, Anul 2009, Numar, 230
Total, Caras-Severin, TOTAL, Anul 2010, Numar, 229
Total, Caras-Severin, TOTAL, Anul 2011, Numar, 302
Total, Caras-Severin, TOTAL, Anul 2012, Numar, 295
Total, Caras-Severin, TOTAL, Anul 2013, Numar, 264
Total, Caras-Severin, TOTAL, Anul 2014, Numar, 244
Total, Caras-Severin, TOTAL, Anul 2015, Numar, 176
Total, Caras-Severin, TOTAL, Anul 2016, Numar, 170
Total, Caras-Severin, TOTAL, Anul 2017, Numar, 166
Total, Caras-Severin, TOTAL, Anul 2018, Numar, 166
Total, Caras-Severin, TOTAL, Anul 2019, Numar, 165
Total, Caras-Severin, TOTAL, Anul 2020, Numar, 162
Total, Caras-Severin, TOTAL, Anul 2021, Numar, 151
Total, Calarasi, TOTAL, Anul 1995, Numar, 212
Total, Calarasi, TOTAL, Anul 1996, Numar, 216
Total, Calarasi, TOTAL, Anul 1997, Numar, 218
Total, Calarasi, TOTAL, Anul 1998, Numar, 218
Total, Calarasi, TOTAL, Anul 1999, Numar, 211
Total, Calarasi, TOTAL, Anul 2000, Numar, 211
Total, Calarasi, TOTAL, Anul 2001, Numar, 207
Total, Calarasi, TOTAL, Anul 2002, Numar, 207
Total, Calarasi, TOTAL, Anul 2003, Numar, 205
Total, Calarasi, TOTAL, Anul 2004, Numar, 200
Total, Calarasi, TOTAL, Anul 2005, Numar, 201
Total, Calarasi, TOTAL, Anul 2006, Numar, 197
Total, Calarasi, TOTAL, Anul 2007, Numar, 196
Total, Calarasi, TOTAL, Anul 2008, Numar, 192
Total, Calarasi, TOTAL, Anul 2009, Numar, 186
Total, Calarasi, TOTAL, Anul 2010, Numar, 172
Total, Calarasi, TOTAL, Anul 2011, Numar, 170
Total, Calarasi, TOTAL, Anul 2012, Numar, 174
Total, Calarasi, TOTAL, Anul 2013, Numar, 156
Total, Calarasi, TOTAL, Anul 2014, Numar, 153
Total, Calarasi, TOTAL, Anul 2015, Numar, 145
Total, Calarasi, TOTAL, Anul 2016, Numar, 150
Total, Calarasi, TOTAL, Anul 2017, Numar, 149
Total, Calarasi, TOTAL, Anul 2018, Numar, 149
Total, Calarasi, TOTAL, Anul 2019, Numar, 145
Total, Calarasi, TOTAL, Anul 2020, Numar, 140
Total, Calarasi, TOTAL, Anul 2021, Numar, 130
Total, Cluj, TOTAL, Anul 1995, Numar, 443
Total, Cluj, TOTAL, Anul 1996, Numar, 452
Total, Cluj, TOTAL, Anul 1997, Numar, 461
Total, Cluj, TOTAL, Anul 1998, Numar, 463
Total, Cluj, TOTAL, Anul 1999, Numar, 460
Total, Cluj, TOTAL, Anul 2000, Numar, 454
Total, Cluj, TOTAL, Anul 2001, Numar, 450
Total, Cluj, TOTAL, Anul 2002, Numar, 460
Total, Cluj, TOTAL, Anul 2003, Numar, 439
Total, Cluj, TOTAL, Anul 2004, Numar, 437
Total, Cluj, TOTAL, Anul 2005, Numar, 403
Total, Cluj, TOTAL, Anul 2006, Numar, 432
Total, Cluj, TOTAL, Anul 2007, Numar, 420
Total, Cluj, TOTAL, Anul 2008, Numar, 412
Total, Cluj, TOTAL, Anul 2009, Numar, 394
Total, Cluj, TOTAL, Anul 2010, Numar, 379
Total, Cluj, TOTAL, Anul 2011, Numar, 372
Total, Cluj, TOTAL, Anul 2012, Numar, 361
Total, Cluj, TOTAL, Anul 2013, Numar, 355
Total, Cluj, TOTAL, Anul 2014, Numar, 342
Total, Cluj, TOTAL, Anul 2015, Numar, 314
Total, Cluj, TOTAL, Anul 2016, Numar, 304
Total, Cluj, TOTAL, Anul 2017, Numar, 293
Total, Cluj, TOTAL, Anul 2018, Numar, 289
Total, Cluj, TOTAL, Anul 2019, Numar, 277
Total, Cluj, TOTAL, Anul 2020, Numar, 272
Total, Cluj, TOTAL, Anul 2021, Numar, 266
Total, Constanta, TOTAL, Anul 1995, Numar, 289
Total, Constanta, TOTAL, Anul 1996, Numar, 296
Total, Constanta, TOTAL, Anul 1997, Numar, 303
Total, Constanta, TOTAL, Anul 1998, Numar, 308
Total, Constanta, TOTAL, Anul 1999, Numar, 303
Total, Constanta, TOTAL, Anul 2000, Numar, 299
Total, Constanta, TOTAL, Anul 2001, Numar, 304
Total, Constanta, TOTAL, Anul 2002, Numar, 309
