Niveluri de educatie, Judete, Localitati , Ani, UM: Numar, Valoare
Total, Constanta, TOTAL, Anul 2020, Numar, 228
Total, Constanta, TOTAL, Anul 2021, Numar, 227
Total, Covasna, TOTAL, Anul 1992, Numar, 361
Total, Covasna, TOTAL, Anul 1993, Numar, 381
Total, Covasna, TOTAL, Anul 1994, Numar, 377
Total, Covasna, TOTAL, Anul 1995, Numar, 381
Total, Covasna, TOTAL, Anul 1996, Numar, 380
Total, Covasna, TOTAL, Anul 1997, Numar, 379
Total, Covasna, TOTAL, Anul 1998, Numar, 376
Total, Covasna, TOTAL, Anul 1999, Numar, 354
Total, Covasna, TOTAL, Anul 2000, Numar, 341
Total, Covasna, TOTAL, Anul 2001, Numar, 345
Total, Covasna, TOTAL, Anul 2002, Numar, 343
Total, Covasna, TOTAL, Anul 2003, Numar, 343
Total, Covasna, TOTAL, Anul 2004, Numar, 119
Total, Covasna, TOTAL, Anul 2005, Numar, 119
Total, Covasna, TOTAL, Anul 2006, Numar, 115
Total, Covasna, TOTAL, Anul 2007, Numar, 84
Total, Covasna, TOTAL, Anul 2008, Numar, 85
Total, Covasna, TOTAL, Anul 2009, Numar, 83
Total, Covasna, TOTAL, Anul 2010, Numar, 85
Total, Covasna, TOTAL, Anul 2011, Numar, 82
Total, Covasna, TOTAL, Anul 2012, Numar, 80
Total, Covasna, TOTAL, Anul 2013, Numar, 82
Total, Covasna, TOTAL, Anul 2014, Numar, 81
Total, Covasna, TOTAL, Anul 2015, Numar, 81
Total, Covasna, TOTAL, Anul 2016, Numar, 81
Total, Covasna, TOTAL, Anul 2017, Numar, 81
Total, Covasna, TOTAL, Anul 2018, Numar, 81
Total, Covasna, TOTAL, Anul 2019, Numar, 80
Total, Covasna, TOTAL, Anul 2020, Numar, 79
Total, Covasna, TOTAL, Anul 2021, Numar, 79
Total, Dambovita, TOTAL, Anul 1992, Numar, 776
Total, Dambovita, TOTAL, Anul 1993, Numar, 779
Total, Dambovita, TOTAL, Anul 1994, Numar, 784
Total, Dambovita, TOTAL, Anul 1995, Numar, 785
Total, Dambovita, TOTAL, Anul 1996, Numar, 789
Total, Dambovita, TOTAL, Anul 1997, Numar, 783
Total, Dambovita, TOTAL, Anul 1998, Numar, 779
Total, Dambovita, TOTAL, Anul 1999, Numar, 743
Total, Dambovita, TOTAL, Anul 2000, Numar, 742
Total, Dambovita, TOTAL, Anul 2001, Numar, 734
Total, Dambovita, TOTAL, Anul 2002, Numar, 713
Total, Dambovita, TOTAL, Anul 2003, Numar, 697
Total, Dambovita, TOTAL, Anul 2004, Numar, 243
Total, Dambovita, TOTAL, Anul 2005, Numar, 254
Total, Dambovita, TOTAL, Anul 2006, Numar, 201
Total, Dambovita, TOTAL, Anul 2007, Numar, 200
Total, Dambovita, TOTAL, Anul 2008, Numar, 202
Total, Dambovita, TOTAL, Anul 2009, Numar, 207
Total, Dambovita, TOTAL, Anul 2010, Numar, 167
Total, Dambovita, TOTAL, Anul 2011, Numar, 156
Total, Dambovita, TOTAL, Anul 2012, Numar, 160
Total, Dambovita, TOTAL, Anul 2013, Numar, 160
Total, Dambovita, TOTAL, Anul 2014, Numar, 161
Total, Dambovita, TOTAL, Anul 2015, Numar, 161
Total, Dambovita, TOTAL, Anul 2016, Numar, 157
Total, Dambovita, TOTAL, Anul 2017, Numar, 154
Total, Dambovita, TOTAL, Anul 2018, Numar, 154
Total, Dambovita, TOTAL, Anul 2019, Numar, 156
Total, Dambovita, TOTAL, Anul 2020, Numar, 153
Total, Dambovita, TOTAL, Anul 2021, Numar, 153
Total, Dolj, TOTAL, Anul 1992, Numar, 819
Total, Dolj, TOTAL, Anul 1993, Numar, 832
Total, Dolj, TOTAL, Anul 1994, Numar, 851
Total, Dolj, TOTAL, Anul 1995, Numar, 857
Total, Dolj, TOTAL, Anul 1996, Numar, 875
Total, Dolj, TOTAL, Anul 1997, Numar, 874
Total, Dolj, TOTAL, Anul 1998, Numar, 876
Total, Dolj, TOTAL, Anul 1999, Numar, 809
Total, Dolj, TOTAL, Anul 2000, Numar, 632
Total, Dolj, TOTAL, Anul 2001, Numar, 562
Total, Dolj, TOTAL, Anul 2002, Numar, 566
Total, Dolj, TOTAL, Anul 2003, Numar, 423
Total, Dolj, TOTAL, Anul 2004, Numar, 412
Total, Dolj, TOTAL, Anul 2005, Numar, 253
Total, Dolj, TOTAL, Anul 2006, Numar, 249
Total, Dolj, TOTAL, Anul 2007, Numar, 249
Total, Dolj, TOTAL, Anul 2008, Numar, 249
Total, Dolj, TOTAL, Anul 2009, Numar, 245
Total, Dolj, TOTAL, Anul 2010, Numar, 210
Total, Dolj, TOTAL, Anul 2011, Numar, 199
Total, Dolj, TOTAL, Anul 2012, Numar, 203
Total, Dolj, TOTAL, Anul 2013, Numar, 208
Total, Dolj, TOTAL, Anul 2014, Numar, 211
Total, Dolj, TOTAL, Anul 2015, Numar, 209
Total, Dolj, TOTAL, Anul 2016, Numar, 210
Total, Dolj, TOTAL, Anul 2017, Numar, 211
Total, Dolj, TOTAL, Anul 2018, Numar, 214
Total, Dolj, TOTAL, Anul 2019, Numar, 216
Total, Dolj, TOTAL, Anul 2020, Numar, 214
Total, Dolj, TOTAL, Anul 2021, Numar, 216
Total, Galati, TOTAL, Anul 1992, Numar, 559
Total, Galati, TOTAL, Anul 1993, Numar, 580
Total, Galati, TOTAL, Anul 1994, Numar, 576
Total, Galati, TOTAL, Anul 1995, Numar, 562
Total, Galati, TOTAL, Anul 1996, Numar, 565
Total, Galati, TOTAL, Anul 1997, Numar, 567
Total, Galati, TOTAL, Anul 1998, Numar, 581
Total, Galati, TOTAL, Anul 1999, Numar, 541
Total, Galati, TOTAL, Anul 2000, Numar, 449
Total, Galati, TOTAL, Anul 2001, Numar, 445
Total, Galati, TOTAL, Anul 2002, Numar, 447
Total, Galati, TOTAL, Anul 2003, Numar, 276
Total, Galati, TOTAL, Anul 2004, Numar, 278
Total, Galati, TOTAL, Anul 2005, Numar, 259
Total, Galati, TOTAL, Anul 2006, Numar, 248
Total, Galati, TOTAL, Anul 2007, Numar, 249
Total, Galati, TOTAL, Anul 2008, Numar, 249
Total, Galati, TOTAL, Anul 2009, Numar, 250
Total, Galati, TOTAL, Anul 2010, Numar, 203
Total, Galati, TOTAL, Anul 2011, Numar, 199
Total, Galati, TOTAL, Anul 2012, Numar, 197
Total, Galati, TOTAL, Anul 2013, Numar, 197
Total, Galati, TOTAL, Anul 2014, Numar, 192
Total, Galati, TOTAL, Anul 2015, Numar, 192
Total, Galati, TOTAL, Anul 2016, Numar, 188
Total, Galati, TOTAL, Anul 2017, Numar, 186
Total, Galati, TOTAL, Anul 2018, Numar, 187
Total, Galati, TOTAL, Anul 2019, Numar, 187
Total, Galati, TOTAL, Anul 2020, Numar, 188
Total, Galati, TOTAL, Anul 2021, Numar, 188
Total, Giurgiu, TOTAL, Anul 1992, Numar, 377
Total, Giurgiu, TOTAL, Anul 1993, Numar, 384
Total, Giurgiu, TOTAL, Anul 1994, Numar, 381
Total, Giurgiu, TOTAL, Anul 1995, Numar, 390
Total, Giurgiu, TOTAL, Anul 1996, Numar, 394
Total, Giurgiu, TOTAL, Anul 1997, Numar, 382
Total, Giurgiu, TOTAL, Anul 1998, Numar, 386
Total, Giurgiu, TOTAL, Anul 1999, Numar, 374
Total, Giurgiu, TOTAL, Anul 2000, Numar, 222
Total, Giurgiu, TOTAL, Anul 2001, Numar, 221
Total, Giurgiu, TOTAL, Anul 2002, Numar, 219
Total, Giurgiu, TOTAL, Anul 2003, Numar, 134
Total, Giurgiu, TOTAL, Anul 2004, Numar, 129
Total, Giurgiu, TOTAL, Anul 2005, Numar, 107
Total, Giurgiu, TOTAL, Anul 2006, Numar, 109
Total, Giurgiu, TOTAL, Anul 2007, Numar, 107
Total, Giurgiu, TOTAL, Anul 2008, Numar, 107
Total, Giurgiu, TOTAL, Anul 2009, Numar, 107
Total, Giurgiu, TOTAL, Anul 2010, Numar, 109
Total, Giurgiu, TOTAL, Anul 2011, Numar, 86
Total, Giurgiu, TOTAL, Anul 2012, Numar, 85
Total, Giurgiu, TOTAL, Anul 2013, Numar, 85
Total, Giurgiu, TOTAL, Anul 2014, Numar, 85
Total, Giurgiu, TOTAL, Anul 2015, Numar, 88
Total, Giurgiu, TOTAL, Anul 2016, Numar, 90
Total, Giurgiu, TOTAL, Anul 2017, Numar, 87
Total, Giurgiu, TOTAL, Anul 2018, Numar, 87
Total, Giurgiu, TOTAL, Anul 2019, Numar, 87
Total, Giurgiu, TOTAL, Anul 2020, Numar, 87
Total, Giurgiu, TOTAL, Anul 2021, Numar, 86
Total, Gorj, TOTAL, Anul 1992, Numar, 848
Total, Gorj, TOTAL, Anul 1993, Numar, 857
Total, Gorj, TOTAL, Anul 1994, Numar, 848
Total, Gorj, TOTAL, Anul 1995, Numar, 851
Total, Gorj, TOTAL, Anul 1996, Numar, 847
Total, Gorj, TOTAL, Anul 1997, Numar, 830
Total, Gorj, TOTAL, Anul 1998, Numar, 854
Total, Gorj, TOTAL, Anul 1999, Numar, 809
Total, Gorj, TOTAL, Anul 2000, Numar, 785
Total, Gorj, TOTAL, Anul 2001, Numar, 780
Total, Gorj, TOTAL, Anul 2002, Numar, 525
Total, Gorj, TOTAL, Anul 2003, Numar, 219
Total, Gorj, TOTAL, Anul 2004, Numar, 218
Total, Gorj, TOTAL, Anul 2005, Numar, 185
Total, Gorj, TOTAL, Anul 2006, Numar, 175
Total, Gorj, TOTAL, Anul 2007, Numar, 119
Total, Gorj, TOTAL, Anul 2008, Numar, 120
Total, Gorj, TOTAL, Anul 2009, Numar, 116
Total, Gorj, TOTAL, Anul 2010, Numar, 110
Total, Gorj, TOTAL, Anul 2011, Numar, 110
Total, Gorj, TOTAL, Anul 2012, Numar, 116
Total, Gorj, TOTAL, Anul 2013, Numar, 116
Total, Gorj, TOTAL, Anul 2014, Numar, 120
Total, Gorj, TOTAL, Anul 2015, Numar, 120
Total, Gorj, TOTAL, Anul 2016, Numar, 117
Total, Gorj, TOTAL, Anul 2017, Numar, 117
Total, Gorj, TOTAL, Anul 2018, Numar, 117
Total, Gorj, TOTAL, Anul 2019, Numar, 116
Total, Gorj, TOTAL, Anul 2020, Numar, 116
Total, Gorj, TOTAL, Anul 2021, Numar, 116
Total, Harghita, TOTAL, Anul 1992, Numar, 583
Total, Harghita, TOTAL, Anul 1993, Numar, 599
Total, Harghita, TOTAL, Anul 1994, Numar, 609
Total, Harghita, TOTAL, Anul 1995, Numar, 606
Total, Harghita, TOTAL, Anul 1996, Numar, 647
Total, Harghita, TOTAL, Anul 1997, Numar, 644
Total, Harghita, TOTAL, Anul 1998, Numar, 644
Total, Harghita, TOTAL, Anul 1999, Numar, 608
Total, Harghita, TOTAL, Anul 2000, Numar, 598
Total, Harghita, TOTAL, Anul 2001, Numar, 588
Total, Harghita, TOTAL, Anul 2002, Numar, 583
Total, Harghita, TOTAL, Anul 2003, Numar, 569
Total, Harghita, TOTAL, Anul 2004, Numar, 557
Total, Harghita, TOTAL, Anul 2005, Numar, 160
Total, Harghita, TOTAL, Anul 2006, Numar, 159
Total, Harghita, TOTAL, Anul 2007, Numar, 162
Total, Harghita, TOTAL, Anul 2008, Numar, 163
Total, Harghita, TOTAL, Anul 2009, Numar, 164
Total, Harghita, TOTAL, Anul 2010, Numar, 158
Total, Harghita, TOTAL, Anul 2011, Numar, 152
Total, Harghita, TOTAL, Anul 2012, Numar, 150
Total, Harghita, TOTAL, Anul 2013, Numar, 131
Total, Harghita, TOTAL, Anul 2014, Numar, 130
Total, Harghita, TOTAL, Anul 2015, Numar, 132
Total, Harghita, TOTAL, Anul 2016, Numar, 129
Total, Harghita, TOTAL, Anul 2017, Numar, 128
Total, Harghita, TOTAL, Anul 2018, Numar, 128
Total, Harghita, TOTAL, Anul 2019, Numar, 129
Total, Harghita, TOTAL, Anul 2020, Numar, 130
Total, Harghita, TOTAL, Anul 2021, Numar, 130
Total, Hunedoara, TOTAL, Anul 1992, Numar, 742
Total, Hunedoara, TOTAL, Anul 1993, Numar, 753
Total, Hunedoara, TOTAL, Anul 1994, Numar, 754
Total, Hunedoara, TOTAL, Anul 1995, Numar, 766
Total, Hunedoara, TOTAL, Anul 1996, Numar, 779
Total, Hunedoara, TOTAL, Anul 1997, Numar, 758
Total, Hunedoara, TOTAL, Anul 1998, Numar, 773
Total, Hunedoara, TOTAL, Anul 1999, Numar, 687
Total, Hunedoara, TOTAL, Anul 2000, Numar, 478
Total, Hunedoara, TOTAL, Anul 2001, Numar, 470
Total, Hunedoara, TOTAL, Anul 2002, Numar, 460
Total, Hunedoara, TOTAL, Anul 2003, Numar, 207
Total, Hunedoara, TOTAL, Anul 2004, Numar, 212
Total, Hunedoara, TOTAL, Anul 2005, Numar, 210
Total, Hunedoara, TOTAL, Anul 2006, Numar, 178
Total, Hunedoara, TOTAL, Anul 2007, Numar, 176
Total, Hunedoara, TOTAL, Anul 2008, Numar, 173
Total, Hunedoara, TOTAL, Anul 2009, Numar, 169
Total, Hunedoara, TOTAL, Anul 2010, Numar, 111
Total, Hunedoara, TOTAL, Anul 2011, Numar, 111
Total, Hunedoara, TOTAL, Anul 2012, Numar, 112
Total, Hunedoara, TOTAL, Anul 2013, Numar, 120
Total, Hunedoara, TOTAL, Anul 2014, Numar, 115
Total, Hunedoara, TOTAL, Anul 2015, Numar, 113
Total, Hunedoara, TOTAL, Anul 2016, Numar, 113
Total, Hunedoara, TOTAL, Anul 2017, Numar, 112
Total, Hunedoara, TOTAL, Anul 2018, Numar, 111
Total, Hunedoara, TOTAL, Anul 2019, Numar, 111
Total, Hunedoara, TOTAL, Anul 2020, Numar, 111
Total, Hunedoara, TOTAL, Anul 2021, Numar, 111
Total, Ialomita, TOTAL, Anul 1992, Numar, 341
Total, Ialomita, TOTAL, Anul 1993, Numar, 332
Total, Ialomita, TOTAL, Anul 1994, Numar, 336
Total, Ialomita, TOTAL, Anul 1995, Numar, 336
Total, Ialomita, TOTAL, Anul 1996, Numar, 330
Total, Ialomita, TOTAL, Anul 1997, Numar, 327
Total, Ialomita, TOTAL, Anul 1998, Numar, 324
Total, Ialomita, TOTAL, Anul 1999, Numar, 304
Total, Ialomita, TOTAL, Anul 2000, Numar, 265
Total, Ialomita, TOTAL, Anul 2001, Numar, 262
Total, Ialomita, TOTAL, Anul 2002, Numar, 244
Total, Ialomita, TOTAL, Anul 2003, Numar, 151
Total, Ialomita, TOTAL, Anul 2004, Numar, 118
Total, Ialomita, TOTAL, Anul 2005, Numar, 118
Total, Ialomita, TOTAL, Anul 2006, Numar, 115
Total, Ialomita, TOTAL, Anul 2007, Numar, 115
Total, Ialomita, TOTAL, Anul 2008, Numar, 114
Total, Ialomita, TOTAL, Anul 2009, Numar, 125
Total, Ialomita, TOTAL, Anul 2010, Numar, 127
Total, Ialomita, TOTAL, Anul 2011, Numar, 123
Total, Ialomita, TOTAL, Anul 2012, Numar, 92
Total, Ialomita, TOTAL, Anul 2013, Numar, 95
Total, Ialomita, TOTAL, Anul 2014, Numar, 98
Total, Ialomita, TOTAL, Anul 2015, Numar, 98
Total, Ialomita, TOTAL, Anul 2016, Numar, 95
Total, Ialomita, TOTAL, Anul 2017, Numar, 93
Total, Ialomita, TOTAL, Anul 2018, Numar, 91
Total, Ialomita, TOTAL, Anul 2019, Numar, 90
Total, Ialomita, TOTAL, Anul 2020, Numar, 91
Total, Ialomita, TOTAL, Anul 2021, Numar, 92
Total, Iasi, TOTAL, Anul 1992, Numar, 1051
Total, Iasi, TOTAL, Anul 1993, Numar, 1060
Total, Iasi, TOTAL, Anul 1994, Numar, 1050
Total, Iasi, TOTAL, Anul 1995, Numar, 1075
Total, Iasi, TOTAL, Anul 1996, Numar, 1078
Total, Iasi, TOTAL, Anul 1997, Numar, 998
Total, Iasi, TOTAL, Anul 1998, Numar, 1051
Total, Iasi, TOTAL, Anul 1999, Numar, 1021
Total, Iasi, TOTAL, Anul 2000, Numar, 1002
Total, Iasi, TOTAL, Anul 2001, Numar, 1011
Total, Iasi, TOTAL, Anul 2002, Numar, 1000
Total, Iasi, TOTAL, Anul 2003, Numar, 997
Total, Iasi, TOTAL, Anul 2004, Numar, 365
Total, Iasi, TOTAL, Anul 2005, Numar, 362
Total, Iasi, TOTAL, Anul 2006, Numar, 362
Total, Iasi, TOTAL, Anul 2007, Numar, 362
Total, Iasi, TOTAL, Anul 2008, Numar, 366
Total, Iasi, TOTAL, Anul 2009, Numar, 353
Total, Iasi, TOTAL, Anul 2010, Numar, 316
Total, Iasi, TOTAL, Anul 2011, Numar, 292
Total, Iasi, TOTAL, Anul 2012, Numar, 248
Total, Iasi, TOTAL, Anul 2013, Numar, 266
Total, Iasi, TOTAL, Anul 2014, Numar, 273
Total, Iasi, TOTAL, Anul 2015, Numar, 269
Total, Iasi, TOTAL, Anul 2016, Numar, 262
Total, Iasi, TOTAL, Anul 2017, Numar, 264
Total, Iasi, TOTAL, Anul 2018, Numar, 261
Total, Iasi, TOTAL, Anul 2019, Numar, 261
Total, Iasi, TOTAL, Anul 2020, Numar, 260
Total, Iasi, TOTAL, Anul 2021, Numar, 262
Total, Ilfov, TOTAL, Anul 1992, Numar, 266
Total, Ilfov, TOTAL, Anul 1993, Numar, 251
Total, Ilfov, TOTAL, Anul 1994, Numar, 264
Total, Ilfov, TOTAL, Anul 1995, Numar, 265
Total, Ilfov, TOTAL, Anul 1996, Numar, 264
Total, Ilfov, TOTAL, Anul 1997, Numar, 267
Total, Ilfov, TOTAL, Anul 1998, Numar, 264
Total, Ilfov, TOTAL, Anul 1999, Numar, 261
Total, Ilfov, TOTAL, Anul 2000, Numar, 241
Total, Ilfov, TOTAL, Anul 2001, Numar, 246
Total, Ilfov, TOTAL, Anul 2002, Numar, 242
Total, Ilfov, TOTAL, Anul 2003, Numar, 128
Total, Ilfov, TOTAL, Anul 2004, Numar, 125
Total, Ilfov, TOTAL, Anul 2005, Numar, 103
Total, Ilfov, TOTAL, Anul 2006, Numar, 102
Total, Ilfov, TOTAL, Anul 2007, Numar, 105
Total, Ilfov, TOTAL, Anul 2008, Numar, 103
Total, Ilfov, TOTAL, Anul 2009, Numar, 97
Total, Ilfov, TOTAL, Anul 2010, Numar, 91
Total, Ilfov, TOTAL, Anul 2011, Numar, 77
Total, Ilfov, TOTAL, Anul 2012, Numar, 83
Total, Ilfov, TOTAL, Anul 2013, Numar, 119
Total, Ilfov, TOTAL, Anul 2014, Numar, 129
Total, Ilfov, TOTAL, Anul 2015, Numar, 128
Total, Ilfov, TOTAL, Anul 2016, Numar, 132
Total, Ilfov, TOTAL, Anul 2017, Numar, 137
Total, Ilfov, TOTAL, Anul 2018, Numar, 132
Total, Ilfov, TOTAL, Anul 2019, Numar, 132
Total, Ilfov, TOTAL, Anul 2020, Numar, 132
Total, Ilfov, TOTAL, Anul 2021, Numar, 136
Total, Maramures, TOTAL, Anul 1992, Numar, 708
Total, Maramures, TOTAL, Anul 1993, Numar, 703
Total, Maramures, TOTAL, Anul 1994, Numar, 676
Total, Maramures, TOTAL, Anul 1995, Numar, 670
Total, Maramures, TOTAL, Anul 1996, Numar, 662
Total, Maramures, TOTAL, Anul 1997, Numar, 659
Total, Maramures, TOTAL, Anul 1998, Numar, 665
Total, Maramures, TOTAL, Anul 1999, Numar, 623
Total, Maramures, TOTAL, Anul 2000, Numar, 366
Total, Maramures, TOTAL, Anul 2001, Numar, 365
Total, Maramures, TOTAL, Anul 2002, Numar, 369
Total, Maramures, TOTAL, Anul 2003, Numar, 291
Total, Maramures, TOTAL, Anul 2004, Numar, 291
Total, Maramures, TOTAL, Anul 2005, Numar, 291
Total, Maramures, TOTAL, Anul 2006, Numar, 195
Total, Maramures, TOTAL, Anul 2007, Numar, 199
Total, Maramures, TOTAL, Anul 2008, Numar, 200
Total, Maramures, TOTAL, Anul 2009, Numar, 205
Total, Maramures, TOTAL, Anul 2010, Numar, 185
Total, Maramures, TOTAL, Anul 2011, Numar, 177
Total, Maramures, TOTAL, Anul 2012, Numar, 183
Total, Maramures, TOTAL, Anul 2013, Numar, 191
Total, Maramures, TOTAL, Anul 2014, Numar, 191
Total, Maramures, TOTAL, Anul 2015, Numar, 185
Total, Maramures, TOTAL, Anul 2016, Numar, 189
Total, Maramures, TOTAL, Anul 2017, Numar, 191
Total, Maramures, TOTAL, Anul 2018, Numar, 187
Total, Maramures, TOTAL, Anul 2019, Numar, 187
Total, Maramures, TOTAL, Anul 2020, Numar, 182
Total, Maramures, TOTAL, Anul 2021, Numar, 183
Total, Mehedinti, TOTAL, Anul 1992, Numar, 572
Total, Mehedinti, TOTAL, Anul 1993, Numar, 572
Total, Mehedinti, TOTAL, Anul 1994, Numar, 566
Total, Mehedinti, TOTAL, Anul 1995, Numar, 572
Total, Mehedinti, TOTAL, Anul 1996, Numar, 570
Total, Mehedinti, TOTAL, Anul 1997, Numar, 563
Total, Mehedinti, TOTAL, Anul 1998, Numar, 564
Total, Mehedinti, TOTAL, Anul 1999, Numar, 548
Total, Mehedinti, TOTAL, Anul 2000, Numar, 460
Total, Mehedinti, TOTAL, Anul 2001, Numar, 384
Total, Mehedinti, TOTAL, Anul 2002, Numar, 375
Total, Mehedinti, TOTAL, Anul 2003, Numar, 180
Total, Mehedinti, TOTAL, Anul 2004, Numar, 136
Total, Mehedinti, TOTAL, Anul 2005, Numar, 116
Total, Mehedinti, TOTAL, Anul 2006, Numar, 118
Total, Mehedinti, TOTAL, Anul 2007, Numar, 115
Total, Mehedinti, TOTAL, Anul 2008, Numar, 116
Total, Mehedinti, TOTAL, Anul 2009, Numar, 118
Total, Mehedinti, TOTAL, Anul 2010, Numar, 116
Total, Mehedinti, TOTAL, Anul 2011, Numar, 110
Total, Mehedinti, TOTAL, Anul 2012, Numar, 108
Total, Mehedinti, TOTAL, Anul 2013, Numar, 109
Total, Mehedinti, TOTAL, Anul 2014, Numar, 110
Total, Mehedinti, TOTAL, Anul 2015, Numar, 109
Total, Mehedinti, TOTAL, Anul 2016, Numar, 107
Total, Mehedinti, TOTAL, Anul 2017, Numar, 107
Total, Mehedinti, TOTAL, Anul 2018, Numar, 107
Total, Mehedinti, TOTAL, Anul 2019, Numar, 107
Total, Mehedinti, TOTAL, Anul 2020, Numar, 106
Total, Mehedinti, TOTAL, Anul 2021, Numar, 105
Total, Mures, TOTAL, Anul 1992, Numar, 917
Total, Mures, TOTAL, Anul 1993, Numar, 928
Total, Mures, TOTAL, Anul 1994, Numar, 928
Total, Mures, TOTAL, Anul 1995, Numar, 940
Total, Mures, TOTAL, Anul 1996, Numar, 956
Total, Mures, TOTAL, Anul 1997, Numar, 950
Total, Mures, TOTAL, Anul 1998, Numar, 956
Total, Mures, TOTAL, Anul 1999, Numar, 902
Total, Mures, TOTAL, Anul 2000, Numar, 899
Total, Mures, TOTAL, Anul 2001, Numar, 899
Total, Mures, TOTAL, Anul 2002, Numar, 892
Total, Mures, TOTAL, Anul 2003, Numar, 896
Total, Mures, TOTAL, Anul 2004, Numar, 700
Total, Mures, TOTAL, Anul 2005, Numar, 698
Total, Mures, TOTAL, Anul 2006, Numar, 308
Total, Mures, TOTAL, Anul 2007, Numar, 262
Total, Mures, TOTAL, Anul 2008, Numar, 263
Total, Mures, TOTAL, Anul 2009, Numar, 266
Total, Mures, TOTAL, Anul 2010, Numar, 255
Total, Mures, TOTAL, Anul 2011, Numar, 222
Total, Mures, TOTAL, Anul 2012, Numar, 214
Total, Mures, TOTAL, Anul 2013, Numar, 193
Total, Mures, TOTAL, Anul 2014, Numar, 189
Total, Mures, TOTAL, Anul 2015, Numar, 189
Total, Mures, TOTAL, Anul 2016, Numar, 185
Total, Mures, TOTAL, Anul 2017, Numar, 187
Total, Mures, TOTAL, Anul 2018, Numar, 186
Total, Mures, TOTAL, Anul 2019, Numar, 188
Total, Mures, TOTAL, Anul 2020, Numar, 187
Total, Mures, TOTAL, Anul 2021, Numar, 189
Total, Neamt, TOTAL, Anul 1992, Numar, 796
